name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Robert Drysdale,7,0,0,190.5,92.99,190.5,Orthodox,0.0,0.0,0.0,0.0,7.32,100.0,0.0,21.9,43
Daniel McWilliams,15,37,0,185.42,83.91,185.42,Orthodox,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,38
Dan Molina,13,9,0,177.8,97.98,177.8,Orthodox,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,38
Paul Ruiz,7,4,0,167.64,61.23,167.64,Orthodox,1.4,33.0,1.4,75.0,0.0,0.0,100.0,20.9,38
Collin Huckbody,8,2,0,190.5,83.91,193.04,Orthodox,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,30
Gerald Strebendt,9,7,0,175.26,70.31,175.26,Orthodox,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4,46
Isaiah Hill,5,7,1,177.8,70.31,177.8,Orthodox,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,38
Kenneth Seegrist,4,7,0,182.88,83.91,182.88,Orthodox,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,38
Will Kerr,9,3,0,177.8,70.31,175.26,Orthodox,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,42
Neil Grove,12,8,1,198.12,120.2,198.12,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.3,54
Raphael Butler,9,2,1,190.5,118.39,190.5,Orthodox,4.69,45.0,0.94,91.0,0.0,0.0,100.0,14.1,38
Bo Nickal,5,0,0,185.42,83.91,193.04,Southpaw,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,29
Ian Entwistle,9,3,0,165.1,61.23,165.1,Orthodox,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,38
Megumi Fujii,26,3,0,160.02,51.26,160.02,Orthodox,2.4,42.0,0.0,100.0,0.0,0.0,0.0,12.0,38
Gaston Reyno,6,2,0,182.88,65.77,182.88,Orthodox,7.79,62.0,3.9,44.0,0.0,0.0,0.0,11.7,38
Kenny Ento,14,15,0,187.96,87.09,187.96,Orthodox,8.41,79.0,0.0,100.0,5.49,100.0,0.0,11.0,38
AJ McKee,8,0,0,177.8,65.77,177.8,Orthodox,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0,38
Westin Wilson,16,8,0,185.42,65.77,185.42,Southpaw,1.38,50.0,7.59,26.0,0.0,0.0,0.0,10.3,36
Philip Perez,7,5,1,165.1,70.31,165.1,Southpaw,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,38
Brandon Shuey,7,6,0,170.18,70.31,170.18,Orthodox,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,49
Dave Phillips,13,7,0,182.88,83.91,182.88,Orthodox,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,45
Johnny Sampaio,3,1,0,172.72,77.11,172.72,Orthodox,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,49
Dione Barbosa,6,2,0,167.64,56.7,167.64,Orthodox,0.87,50.0,0.65,66.0,3.27,100.0,0.0,9.8,32
Zach Reese,6,1,0,193.04,83.91,195.58,Switch,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,31
Rodrigo Gripp de Sousa,7,9,0,180.34,92.99,180.34,Orthodox,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,38
Justin Burlinson,6,1,0,185.42,77.11,187.96,Switch,1.24,40.0,3.09,61.0,0.0,0.0,100.0,9.3,27
Poppies Martinez,29,11,0,175.26,65.77,175.26,Orthodox,2.88,50.0,2.16,51.0,1.54,33.0,50.0,9.2,38
Josh Rafferty,9,8,0,182.88,77.11,182.88,Orthodox,0.6,33.0,3.6,50.0,0.0,0.0,0.0,9.0,44
Daniel Puder,8,0,0,190.5,106.59,190.5,Orthodox,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,43
Yukio Sakaguchi,6,7,0,175.26,83.91,175.26,Orthodox,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,51
Magomed Sultanakhmedov,18,6,0,187.96,83.91,187.96,Southpaw,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,38
Jeff Newton,4,2,0,187.96,92.99,187.96,Sideways,0.28,20.0,1.41,52.0,0.0,0.0,0.0,8.5,58
Emiliano Sordi,16,7,0,187.96,92.99,187.96,Orthodox,4.79,50.0,4.79,48.0,0.0,0.0,100.0,8.3,34
Erik Apple,10,3,0,182.88,77.11,182.88,Orthodox,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,47
Fazlo Mulabitinovic,4,2,0,178.23432467873064,61.23,180.70495018353435,Orthodox,0.54,16.0,0.0,100.0,0.0,0.0,0.0,8.0,38
J.T Taylor,7,7,0,177.8,77.39582504970178,177.8,Orthodox,3.17,80.0,3.7,26.0,3.96,100.0,0.0,7.9,38
Adam Meredith,5,3,0,187.96,77.11,187.96,Orthodox,2.63,50.0,2.11,55.0,7.89,100.0,100.0,7.9,38
Klayton Mai,8,3,0,175.26,56.7,175.26,Orthodox,1.53,42.0,1.02,63.0,3.83,100.0,0.0,7.7,38
Ron Keslar,11,9,0,178.23432467873064,83.91,180.70495018353435,Orthodox,0.0,0.0,2.05,60.0,0.0,0.0,100.0,7.7,38
Bobby McAndrews,1,3,0,178.23432467873064,77.39582504970178,180.70495018353435,Orthodox,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,38
Ansar Chalangov,14,5,0,175.26,77.11,175.26,Orthodox,0.68,66.0,1.69,54.0,0.0,0.0,0.0,7.6,45
Jeremiah Constant,11,8,0,185.42,108.86,185.42,Orthodox,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,50
Paul Sass,14,2,0,182.88,70.31,185.42,Orthodox,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,36
Eddy Millis,0,2,0,185.42,83.91,185.42,Orthodox,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,38
James Lee,15,3,0,180.34,92.99,180.34,Southpaw,1.4,42.0,3.72,27.0,13.95,50.0,0.0,7.0,51
Mikhail Iloukhine,30,11,1,175.26,92.99,175.26,Orthodox,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,58
Kyle Jensen,4,11,2,175.26,77.11,175.26,Orthodox,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,45
Ilya Kotau,1,2,0,178.23432467873064,77.11,180.70495018353435,Orthodox,3.94,40.0,4.38,44.0,6.57,100.0,100.0,6.6,38
Trevor Harris,2,2,0,167.64,65.77,167.64,Orthodox,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,38
Jinnosuke Kashimura,4,2,0,170.18,70.31,180.34,Southpaw,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,23
Tom Erikson,9,4,1,190.5,127.01,190.5,Orthodox,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,38
Jason Black,23,4,1,172.72,70.31,172.72,Orthodox,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2,52
